;avg_spending;favorite_purchase_cluster;likes_sales;favorite_browse_cluster
0002be76b7217f83b3f1da55037ea67fbc640468;265;7;1;7
000d64fe9b18dae5c446f79ad572d6119ea3ebe5;490;1;1;1
001a2683961fe9194291580ffa50d03307e0d633;350;3;1;7
002fc39f7e74103e9eadb53d63b1734ccaa99e3c;699;0;0;9
007328275c23d8134b181ec898a38418f6a46d1f;380;0;0;9
009b3dad70e2b2a95e8e0f12c3c40bed53c3a152;405;0;0;9
00e30f0ed0257423429e2602034ec866fe827ae0;0;2;0;2
00fe1b67c5b080c212ebd0f68d06866b1414c633;194;1;0;1
012677d15dc18d3aa6b6877fc89431c1b544559e;735;3;1;3
012cc902e10fc8178e99a4221930ba0332add480;545;6;0;1
012db01b446e10dba16a1da2d9fbdc5c578a4da9;600;0;1;2
012e844b7c1e29cacd3e0d95380f30d3bf58ff39;689;1;1;2
01389e284698acbb9e6e2926a2828ea88e43d020;880;7;1;7
0159ccb3fd6ecd4dbe10a45c721a9b2404b5638d;1515;2;1;0
0161e359220ff277d7f7e5f65e7de0ebd69b84a4;530;2;0;7
0188dd520a222ae7783c1b4c46a91297edf88e5a;600;1;1;1
019e467c33bb9a3dbca00f9693ab15044e5da651;1140;0;1;9
01b96136f57e880de0160d2405e6d4dc1beaf05c;429;0;0;0
01cdf71cc11838358f9b501ca783ec30e25656df;1080;9;1;2
01d19195777e991e1827cb04addfec4a217cc9ae;659;2;1;9
01d79ae295140453f735e618c13a157b3b553df3;500;2;1;2
01ecc73fd864c1f866bf12782a9dec0c42f251cc;500;1;1;1
01f8f8004513ca96f28582d360247c8e935850ca;1398;2;0;9
0227835d3341ac32c4751a1a6ba4896a7e67e580;800;1;0;1
0241095a4c228d54b9c8dc77686166d5517fb0df;800;2;0;2
024f801fc4fed7a158330c2223aacf8a24067513;210;0;1;0
02acb50edb079c2a16f1d9314707c983ff9f005f;470;0;0;0
02f099b52fb91138f259f9d1c2582fdde6dff0ed;432;0;0;0
0304166159d272c6e330dcfccc6cae0f0bdb182c;3265;2;1;0
0312769da934855286b0bfd829be3ac7ef66bb35;230;3;1;7
032432595672a2f19c85f14cc776224dc294eabe;250;2;1;2
0343a5138cd93bee49160a71a862aa777280857e;800;1;0;1
038d5dd4349ceee20c54698301b920160bde32bd;960;2;1;6
03930444bcc8d2d3ec4199feed45b121167dc4c5;459;1;0;1
03a7b737c5c404f950ba36da36607e6e978a6c90;700;9;1;9
03ad90c87eb5c742b48ef74d7499afbb21162f60;130;7;0;7
03be4dfb8232d99ca8a238a76e41a4d26fdb85b7;500;1;1;9
03bf5d77565c7c88fdafa2038c86762fa7be1b6f;455;2;1;2
03d1b79a0868fb42e334198699a4dfaa0a68891f;210;2;1;2
03d2de397a9a7549da2fd5cfc755d7edd98cc07c;680;6;0;6
03d4af0b5541e7d98f98d65d404c44a32a3efd49;871;9;1;9
03e357f839f7cefbe9afceb284b0bb19adb9cbab;385;2;1;2
03ed362c7ca3e565fe1293de4c7607f3e56596f3;1100;7;0;7
03f8d0dd288e82a53568449ba204e9e5a8070f02;430;9;1;0
03f9de51b3be96e10d7f653b3a42bc9b86a06156;150;3;0;6
042658a7137d51db55354b9d3473a2ba7c7bddbb;280;2;1;2
04273704d49b0a145d676426f6ca616b63e14448;877;6;0;6
042b987bc7374b9ba233124584ff1a026da58f78;725;6;1;6
043937105846743d3c5774e4dd0bd7a90835c852;700;1;1;1
044ee89d17d73f58eb654f7f619a80c2e6a6ccd3;940;2;1;2
045c60bb78f9666ef358b6f57d5c5580bf1e6c99;541;2;0;0
046c2cfc8a035bdcaa1de25472ac247d26f18a16;1039;2;1;2
04945449e004066eb1a2a069b94f51fc15bcf1c0;1510;1;0;7
04b40729feb2eb20e4d6b880bd86f6946b7e570f;1879;0;0;0
04cfa7702258c492796ad7b41222dbdef1839fd6;533;5;1;9
04ddb14bd8fdbf8a7dcc853c35accfb1038f08f1;430;3;0;1
04ea7a2ba7e253c874ab9ef20bc0d9c71eddde54;690;7;0;7
04edcfcd2c3775b55e005cf7f4c36191e5099d29;584;1;1;9
0554f2a9e2647a320fff78878b5fbf24507c389d;715;0;0;0
05606f536aa0abba7b832f2b0362fc7c55796f0b;640;9;1;9
056a046fa8a894ffab600b72be28d857c44d42d1;885;0;1;0
057cbc2194a9cba1738a1431d1b427970b2ce18a;200;2;1;2
059260f14abde00f92af7f3f74c6592cda30bb0e;310;2;1;2
05a337626d775d343f6c25dc7ef2ffc5c4f39011;183;1;1;1
05ad641e12ba53a37c4d11a6ae0c834a13e8bdf3;650;2;0;2
05c2ef03ee766c4fadaf63c0581a13a17aeba067;564;0;0;9
05c3315d44c5e9463922a88f355f103e321ecffa;770;7;0;6
05c36c8cb3d2eb2287370b838990669e5ddf7429;255;9;1;0
05f0b0105b1a7ab5d672491a507028ad8b1e65e1;607;0;1;9
05ffb91cc310e0f4456b519e38c38708156e379d;460;2;1;2
061bedf6c8ddedcc1f0f1485f96999d3183d9891;650;1;1;1
061f1bb29c3974043c4b64a49c83e9f62d1ae163;400;2;0;2
062dc7647ce575458e733960715e840e47726b27;1591;3;1;9
066c14c3fcdcd0067de98cade7148e98ecaffe64;0;2;0;2
066ec7f9b55a7057af3d109061844958c4608c24;350;0;0;0
066ff124ea2ae195360ee600b45f2a7eebcc79ea;880;2;0;0
